sample,predicted_tf,deconv_tool,tumor_type,regions,seq_depth,sample_size,seq_method,mixture_type,expected_tf
healthy_NBL_0.003_20000000_rep6,0.0080511507462398,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep7,0.0067463690047675,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep9,0.0091956508336983,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.007_20000000_rep1,0.019255253107876,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep10,0.0173188545667451,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep2,0.0208057470522554,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep3,0.01890483986504,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep4,0.0174269683450295,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep5,0.0185805629914631,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep6,0.0159456134533413,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep7,0.0199802993195998,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep8,0.0213711131832931,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep9,0.0198944638166421,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.007
healthy_NBL_0.01_20000000_rep1,0.0258989881480988,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep10,0.0275159551204224,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep2,0.0291309527566914,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep3,0.0291183451891474,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep4,0.0282627586430592,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep5,0.0269975885442328,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep6,0.0277734129795246,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep8,0.0280238495332993,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
