"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"290","CIBERSORT","wgbstools","LUSC","62M",0.5,9
"291","EpiDISH_CP_ineq","limma","LUSC","62M",0.05,4
"292","EpiDISH_CP_eq","limma","LUSC","62M",0.05,4
"293","UXM","limma","LUSC","62M",0.025,1
"294","MetDecode","limma","LUSC","62M",0.025,1
"295","CelFiE","limma","LUSC","62M",0.025,1
"296","meth_atlas","limma","LUSC","62M",0.05,4
"297","EpiDISH_RPC","limma","LUSC","62M",0.1,8
"298","EpiSCORE","limma","LUSC","62M",0.1,8
"299","PRMeth","limma","LUSC","62M",0.1,8
"300","CIBERSORT","limma","LUSC","62M",0.05,4
"301","EpiDISH_CP_ineq","limma","LUSC","310M",0.007,1
"302","EpiDISH_CP_eq","limma","LUSC","310M",0.007,1
"303","UXM","limma","LUSC","310M",0.007,1
"304","MetDecode","limma","LUSC","310M",0.01,5
"305","CelFiE","limma","LUSC","310M",0.007,1
"306","EpiDISH_RPC","limma","LUSC","310M",0.025,7
"307","meth_atlas","limma","LUSC","310M",0.025,7
"308","PRMeth","limma","LUSC","310M",0.01,5
"309","EpiSCORE","limma","LUSC","310M",0.025,7
"310","CIBERSORT","limma","LUSC","310M",0.05,10
"311","EpiDISH_CP_ineq","wgbstools","LUSC","310M",0.007,1
"312","EpiDISH_CP_eq","wgbstools","LUSC","310M",0.007,1
"313","UXM","wgbstools","LUSC","310M",0.007,1
"314","MetDecode","wgbstools","LUSC","310M",0.007,1
"315","CelFiE","wgbstools","LUSC","310M",0.007,1
"316","EpiDISH_RPC","wgbstools","LUSC","310M",0.5,9
"317","meth_atlas","wgbstools","LUSC","310M",0.025,6
"318","PRMeth","wgbstools","LUSC","310M",0.05,7
"319","EpiSCORE","wgbstools","LUSC","310M",0.25,8
"320","CIBERSORT","wgbstools","LUSC","310M",0.5,9
"321","EpiDISH_CP_ineq","DMRfinder","LUSC","310M",0.025,4
"322","EpiDISH_CP_eq","DMRfinder","LUSC","310M",0.007,1
"323","UXM","DMRfinder","LUSC","310M",0.01,2
"324","MetDecode","DMRfinder","LUSC","310M",0.025,4
"325","CelFiE","DMRfinder","LUSC","310M",0.01,2
"326","EpiDISH_RPC","DMRfinder","LUSC","310M",0.25,8
"327","meth_atlas","DMRfinder","LUSC","310M",0.025,4
"328","PRMeth","DMRfinder","LUSC","310M",0.25,8
"329","EpiSCORE","DMRfinder","LUSC","310M",0.1,7
"330","CIBERSORT","DMRfinder","LUSC","310M",0.5,10
"331","EpiDISH_CP_eq","limma","LUSC","183M",0.007,1
"332","UXM","limma","LUSC","183M",0.025,6
"333","CelFiE","limma","LUSC","183M",0.007,1
"334","MetDecode","limma","LUSC","183M",0.01,4
"335","meth_atlas","limma","LUSC","183M",0.01,4
"336","EpiDISH_RPC","limma","LUSC","183M",0.025,6
"337","EpiSCORE","limma","LUSC","183M",0.05,10
"338","PRMeth","limma","LUSC","183M",0.025,6
"339","CIBERSORT","limma","LUSC","183M",0.025,6
"340","EpiDISH_CP_ineq","limma","LUSC","183M",0.007,1
"341","EpiDISH_CP_eq","wgbstools","LUSC","183M",0.01,4
"342","UXM","wgbstools","LUSC","183M",0.007,1
"343","CelFiE","wgbstools","LUSC","183M",0.007,1
"344","MetDecode","wgbstools","LUSC","183M",0.007,1
"345","meth_atlas","wgbstools","LUSC","183M",0.01,4
"346","EpiDISH_RPC","wgbstools","LUSC","183M",0.5,9
"347","EpiSCORE","wgbstools","LUSC","183M",0.25,8
"348","PRMeth","wgbstools","LUSC","183M",0.05,7
"349","CIBERSORT","wgbstools","LUSC","183M",0.5,9
